Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,1,World,5510,Production,0116,Rye,1972,1972,t,28677560.0,A,Official figure,
QCL,Crops and livestock products,1,World,5419,Yield,01460,"Coconuts, in shell",1991,1991,100 g/ha,43814.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5312,Area harvested,0142,"Groundnuts, excluding shelled",2019,2019,ha,29431464.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5419,Yield,01929.04,"Ramie, raw or retted",1973,1973,100 g/ha,12488.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5510,Production,01290.90,"Other vegetables, fresh n.e.c.",2007,2007,t,244877665.42,E,Estimated value,
QCL,Crops and livestock products,1,World,5312,Area harvested,01346,Plums and sloes,1966,1966,ha,494376.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5419,Yield,01239.01,Okra,2008,2008,100 g/ha,64188.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5312,Area harvested,01355.90,Other berries and fruits of the genus vaccinium n.e.c.,2017,2017,ha,152423.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5510,Production,01215,Spinach,1965,1965,t,2320875.0,A,Official figure,
QCL,Crops and livestock products,1,World,5419,Yield,01221,Watermelons,1962,1962,100 g/ha,95913.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5510,Production,01232,Cucumbers and gherkins,1994,1994,t,21666598.03,E,Estimated value,
QCL,Crops and livestock products,1,World,5312,Area harvested,01655,"Cinnamon and cinnamon-tree flowers, raw",1977,1977,ha,42312.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5419,Yield,01930.01,"Peppermint, spearmint",1984,1984,100 g/ha,249117.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5419,Yield,01241.01,String beans,1977,1977,100 g/ha,58268.0,A,Official figure,
QCL,Crops and livestock products,1,World,5510,Production,01653,"Nutmeg, mace, cardamoms, raw",2010,2010,t,66760.89,E,Estimated value,
QCL,Crops and livestock products,1,World,5312,Area harvested,01313,Plantains and cooking bananas,2003,2003,ha,4912752.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5419,Yield,01656,"Cloves (whole stems), raw",1986,1986,100 g/ha,1626.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5312,Area harvested,01929.07,"Abaca, manila hemp, raw",1962,1962,ha,186221.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5312,Area harvested,01922.02,"Kenaf, and other textile bast fibres, raw or retted",1962,1962,ha,853590.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5419,Yield,01351.02,Gooseberries,1995,1995,100 g/ha,60957.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5510,Production,01193,Fonio,2015,2015,t,643926.43,A,Official figure,
QCL,Crops and livestock products,1,World,5312,Area harvested,01703,"Chick peas, dry",1961,1961,ha,11836682.0,A,Official figure,
QCL,Crops and livestock products,1,World,5419,Yield,01610,"Coffee, green",2021,2021,100 g/ha,8326.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5510,Production,01659,Hop cones,1978,1978,t,105606.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5510,Production,01802,Sugar cane,1991,1991,t,1086523541.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5510,Production,21700.02,Margarine and shortening,2003,2003,t,14386573.92,E,Estimated value,
QCL,Crops and livestock products,1,World,5312,Area harvested,01359.90,"Other fruits, n.e.c.",1962,1962,ha,942052.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5419,Yield,01708,"Bambara beans, dry",1984,1984,100 g/ha,6614.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5510,Production,01329,"Other citrus fruit, n.e.c.",2010,2010,t,12204419.39,E,Estimated value,
QCL,Crops and livestock products,1,World,5419,Yield,01371,"Almonds, in shell",1986,1986,100 g/ha,7087.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5510,Production,01801,Sugar beet,1993,1993,t,282190576.11,A,Official figure,
QCL,Crops and livestock products,1,World,5419,Yield,01352,Kiwi fruit,1998,1998,100 g/ha,169484.0,A,Official figure,
QCL,Crops and livestock products,1,World,5510,Production,01699,"Other stimulant, spice and aromatic crops, n.e.c.",2011,2011,t,2784947.72,E,Estimated value,
QCL,Crops and livestock products,1,World,5510,Production,01229,Cantaloupes and other melons,1994,1994,t,15952244.04,E,Estimated value,
QCL,Crops and livestock products,1,World,5510,Production,01809,Other sugar crops n.e.c.,2008,2008,t,877466.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5312,Area harvested,01359.02,Cashewapple,1985,1985,ha,410155.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5312,Area harvested,01929.07,"Abaca, manila hemp, raw",2001,2001,ha,127632.0,E,Estimated value,
QCL,Crops and livestock products,1,World,5510,Production,01709.90,Other pulses n.e.c.,1987,1987,t,3410576.0,E,Estimated value,
